model,trim,trim_refined,trim_level
PEUGEOT 208,1.2 PURETECH 100 ACTIVE,1.2 PURETECH 100 ACTIVE,2
PEUGEOT 208,1.2 PURETECH 100 ACTIVE BUSINESS,1.2 PURETECH 100 ACTIVE,2
PEUGEOT 208,1.2 PURETECH 100 ACTIVE PACK,1.2 PURETECH 100 ACTIVE,2
PEUGEOT 208,1.2 PURETECH 100 ALLURE,1.2 PURETECH 100 ALLURE,4
PEUGEOT 208,1.2 PURETECH 100 ALLURE BUSINESS,1.2 PURETECH 100 ALLURE,4
PEUGEOT 208,1.2 PURETECH 100 ALLURE PACK,1.2 PURETECH 100 ALLURE,4
PEUGEOT 208,1.2 PURETECH 100CH S&S ACTIVE PACK 118G,1.2 PURETECH 100 ACTIVE,2
PEUGEOT 208,1.2 PURETECH 100 GT,1.2 PURETECH 100 GT,6
PEUGEOT 208,1.2 PURETECH 100 GT LINE,1.2 PURETECH 100 GT,6
PEUGEOT 208,1.2 PURETECH 100 GT PACK,1.2 PURETECH 100 GT,6
PEUGEOT 208,1.2 PURETECH 100 ROADTRIP,1.2 PURETECH 100 ROADTRIP,5
PEUGEOT 208,1.2 PURETECH 100 STYLE,1.2 PURETECH 100 STYLE,3
PEUGEOT 208,1.2 PURETECH 110CH S&S ALLURE,1.2 PURETECH 100 ALLURE,4
PEUGEOT 208,1.2 PURETECH 130 ALLURE PACK,1.2 PURETECH 130 ALLURE,4
PEUGEOT 208,1.2 PURETECH 130 GT,1.2 PURETECH 130 GT,6
PEUGEOT 208,1.2 PURETECH 130 GT PACK,1.2 PURETECH 130 GT,6
PEUGEOT 208,1.2 PURETECH 75 ACTIVE,1.2 PURETECH 75 ACTIVE,2
PEUGEOT 208,1.2 PURETECH 75 ACTIVE BUSINESS,1.2 PURETECH 75 ACTIVE,2
PEUGEOT 208,1.2 PURETECH 75 ACTIVE BUSINESS R,1.2 PURETECH 75 ACTIVE,2
PEUGEOT 208,1.2 PURETECH 75 ACTIVE PACK,1.2 PURETECH 75 ACTIVE,2
PEUGEOT 208,1.2 PURETECH 75 LIKE,1.2 PURETECH 75 LIKE,1
PEUGEOT 208,1.2 PURETECH 75 STYLE,1.2 PURETECH 75 STYLE,3
PEUGEOT 208,1.5 BLUEHDI 100 ACTIVE,1.5 BLUEHDI 100 ACTIVE,2
PEUGEOT 208,1.5 BLUEHDI 100 ACTIVE BUSINESS,1.5 BLUEHDI 100 ACTIVE,2
PEUGEOT 208,1.5 BLUEHDI 100 ACTIVE PACK,1.5 BLUEHDI 100 ACTIVE,2
PEUGEOT 208,1.5 BLUEHDI 100 ALLURE,1.5 BLUEHDI 100 ALLURE,4
PEUGEOT 208,1.5 BLUEHDI 100 ALLURE BUSINESS,1.5 BLUEHDI 100 ALLURE,4
PEUGEOT 208,1.5 BLUEHDI 100 ALLURE PACK,1.5 BLUEHDI 100 ALLURE,4
PEUGEOT 208,1.5 BLUEHDI 100 GT,1.5 BLUEHDI 100 GT,6
PEUGEOT 208,1.5 BLUEHDI 100 GT LINE,1.5 BLUEHDI 100 GT,6
PEUGEOT 208,1.5 BLUEHDI 100 GT PACK,1.5 BLUEHDI 100 GT,6
PEUGEOT 208,1.5 BLUEHDI 100 LIKE,1.5 BLUEHDI 100 LIKE,1
PEUGEOT 208,1.5 BLUEHDI 100 PREMIUM,1.5 BLUEHDI 100 ALLURE,4
PEUGEOT 208,1.5 BLUEHDI 100 PREMIUM PACK,1.5 BLUEHDI 100 ALLURE,4
PEUGEOT 208,1.5 BLUEHDI 100 ROADTRIP,1.5 BLUEHDI 100 ROADTRIP,5
PEUGEOT 208,1.5 BLUEHDI 100 STYLE,1.5 BLUEHDI 100 STYLE,3
PEUGEOT 208,208 PURETECH 100 S&S EAT8 ACTIVE PACK,1.5 BLUEHDI 100 ACTIVE,2
PEUGEOT 208,BVM6 208 BLUEHDI 100 S&S ALLURE PACK,1.5 BLUEHDI 100 ALLURE,4
